city,state_name,lat,lng, population , population_proper ,density
Holstein,Iowa,42.4869,-95.5429,1389,1389,340
New Rockford,North Dakota,47.6791,-99.1348,1390,1390,354
Gleason,Tennessee,36.2174,-88.6107,1390,1390,235
Bryn Athyn,Pennsylvania,40.1411,-75.0674,1390,1390,277
West Conshohocken,Pennsylvania,40.0705,-75.3192,1390,1390,625
Greenland,Arkansas,35.9987,-94.1875,1390,1390,152
Kimball,Tennessee,35.0457,-85.6734,1391,1391,109
Blue Ridge,Georgia,34.8662,-84.3227,1391,1391,218
Bertram,Texas,30.7428,-98.0591,1392,1392,418
Bell Acres,Pennsylvania,40.5898,-80.1738,1392,1392,100
Clarksville,Iowa,42.78,-92.6682,1392,1392,402
Crystal Falls,Michigan,46.0968,-88.3265,1392,1392,154
Menard,Texas,30.9185,-99.7837,1393,1393,260
Olla,Louisiana,31.8981,-92.2404,1393,1393,136
Carbondale,Kansas,38.8192,-95.6932,1393,1393,718
Avondale,Pennsylvania,39.8248,-75.7819,1394,1394,1113
Elizabeth,Colorado,39.361,-104.6062,1394,1394,430
Clifton,Illinois,40.9346,-87.9339,1394,1394,611
Vian,Oklahoma,35.5018,-94.9698,1394,1394,404
Reese,Michigan,43.4527,-83.6893,1394,1394,398
Frenchtown,New Jersey,40.5279,-75.0562,1395,1395,425
Loving,New Mexico,32.2867,-104.097,1395,1395,459
Oak Leaf,Texas,32.5138,-96.8563,1395,1395,227
Crump,Tennessee,35.2317,-88.3359,1395,1395,40
Lakeside,Texas,32.822,-97.4892,1396,1396,347
Webb,Alabama,31.2572,-85.2898,1396,1396,48
Sanborn,Iowa,43.1814,-95.6553,1396,1396,284
Schwenksville,Pennsylvania,40.2574,-75.4662,1397,1397,1308
Terre Hill,Pennsylvania,40.1591,-76.0506,1397,1397,1187
Earlham,Iowa,41.4945,-94.1222,1397,1397,557
Colwich,Kansas,37.7819,-97.536,1398,1398,396
Montague,California,41.7275,-122.5302,1399,1399,303
Hazen,Arkansas,34.7977,-91.572,1399,1399,154
Rome City,Indiana,41.4891,-85.3607,1399,1399,467
New Windsor,Maryland,39.5442,-77.1017,1400,1400,727
Bagley,Minnesota,47.524,-95.4042,1400,1400,277
Wymore,Nebraska,40.1221,-96.6642,1401,1401,288
Dover,Arkansas,35.3913,-93.1143,1401,1401,191
Fennville,Michigan,42.5947,-86.1052,1401,1401,492
Atglen,Pennsylvania,39.9473,-75.9754,1402,1402,618
Crainville,Illinois,37.7508,-89.0603,1402,1402,327
Granger,Iowa,41.7621,-93.825,1402,1402,355
Blawnox,Pennsylvania,40.4923,-79.86,1403,1403,1826
Gueydan,Louisiana,30.0291,-92.5071,1404,1404,593
Durand,Illinois,42.4341,-89.3265,1404,1404,580
Odon,Indiana,38.8424,-86.9891,1404,1404,562
Locust Grove,Oklahoma,36.1978,-95.1685,1404,1404,309
Crosby,North Dakota,48.9164,-103.2969,1406,1406,395
Baxter,Tennessee,36.1533,-85.6353,1406,1406,179
Columbine Valley,Colorado,39.5993,-105.035,1406,1406,529
Mishicot,Wisconsin,44.2303,-87.6422,1407,1407,212
Oxford,New York,42.4412,-75.596,1407,1407,304
Lenox,Iowa,40.883,-94.5583,1407,1407,274
Wendover,Utah,40.724,-114.025,1407,1407,60
Kinsley,Kansas,37.9224,-99.4114,1407,1407,421
Guthrie,Kentucky,36.6484,-87.1738,1407,1407,320
Felton,Delaware,39.0125,-75.5761,1408,1408,665
Flatonia,Texas,29.6886,-97.106,1408,1408,335
Flomaton,Alabama,31.0127,-87.2541,1408,1408,106
Pioneer,Ohio,41.6775,-84.5534,1408,1408,269
Sumas,Washington,48.9955,-122.2695,1409,1409,368
La Vernia,Texas,29.3542,-98.122,1409,1409,227
Kingsford Heights,Indiana,41.4786,-86.6927,1409,1409,577
Clermont,Indiana,39.8167,-86.3207,1409,1409,810
Centreville,Michigan,41.9213,-85.5258,1409,1409,366
Pomeroy,Washington,46.4739,-117.5971,1410,1410,306
Markesan,Wisconsin,43.7097,-88.9907,1410,1410,233
Bedford,Iowa,40.6711,-94.724,1410,1410,339
